employee_id,employee_name,role,department,location,latitude,longitude,age,job_level,tenure_years,position_tenure_years,promotion_wait_months,internal_applications_12m,manager_rating,engagement_score,work_life_balance,workload_score,overtime_hours_month,absence_days_12m,flexible_work_score,performance_rating,client_facing,direct_reports,active_projects,succession_ready,replacement_time_months,attrition_label,criticality_label,attrition_probability,criticality_probability,attrition_prediction,criticality_prediction,Keepz
E_00001,Aryan Maharaj,Operations Analyst,Operations,Chennai,13.0827,80.2707,44,2,5.5,1.5,17,0,3.2,4.2,5.0,2,5,0,2,4,1,0,3,0,2,0,0,0.065,0.278,Likely to stay,Non-critical,9.6
E_00002,Udant Dewan,HR Executive,HR,Hyderabad,17.385,78.4867,25,1,1.8,0.2,3,0,3.1,3.3,4.2,2,4,2,3,2,1,0,1,0,1,0,0,0.063,0.094,Likely to stay,Non-critical,3.23
E_00003,Gagan Sami,Delivery Manager,Operations,Gurgaon,28.4595,77.0266,57,5,1.5,0.6,14,2,3.2,3.9,3.2,4,17,0,4,3,1,6,1,1,2,1,1,0.633,0.624,Likely to leave,Critical,46.37
E_00004,Ayushman Chander,Support Team Lead,Support,Delhi,28.6139,77.209,47,4,5.1,0.7,13,0,3.6,3.4,4.0,4,11,2,4,4,1,0,2,0,2,0,1,0.117,0.518,Likely to stay,Critical,19.78
E_00005,Viraj Tiwari,Finance Analyst,Finance,Pune,18.5204,73.8567,50,2,5.8,3.4,36,1,3.2,3.7,3.5,4,16,1,1,3,0,0,1,0,2,1,0,0.708,0.096,Likely to leave,Non-critical,7.64
E_00006,Asha Kumar,Senior Software Engineer,Engineering,Bangalore,12.9716,77.5946,43,3,9.2,2.7,21,1,4.6,5.0,3.9,3,13,1,3,3,1,0,1,0,2,0,0,0.49,0.5,Likely to stay,Critical,32.15
E_00007,Saumya Mall,Marketing Manager,Marketing,Bangalore,12.9716,77.5946,59,5,1.1,0.3,15,1,3.0,2.9,3.1,3,21,5,3,3,0,12,5,0,3,1,1,0.705,0.763,Likely to leave,Critical,60.54
E_00008,Nathaniel Sami,Key Account Manager,Sales,Bangalore,12.9716,77.5946,59,4,1.0,0.2,3,0,3.1,3.0,2.8,4,22,2,4,3,1,11,4,0,3,0,1,0.444,0.774,Likely to stay,Critical,47.28
E_00009,Arunima Dugal,Marketing Executive,Marketing,Hyderabad,17.385,78.4867,48,1,4.1,3.7,46,2,2.5,3.6,4.2,3,13,2,2,3,0,0,2,0,1,1,0,0.444,0.064,Likely to stay,Non-critical,3.91
E_00010,Gayathri Chaudry,HR Business Partner,HR,Hyderabad,17.385,78.4867,48,4,2.5,2.3,32,0,2.2,2.5,3.5,3,18,3,2,5,0,2,1,0,2,1,1,0.655,0.668,Likely to leave,Critical,50.67
E_00011,Lajita Chatterjee,Account Executive,Sales,Bangalore,12.9716,77.5946,54,2,6.7,4.1,30,1,3.2,3.7,3.3,3,12,5,4,3,1,0,1,0,2,0,0,0.386,0.101,Likely to stay,Non-critical,5.76
E_00012,Hemangini Lalla,Marketing Manager,Marketing,Bangalore,12.9716,77.5946,39,5,2.2,1.6,20,0,2.4,3.2,4.9,2,0,3,5,4,0,6,2,0,3,0,1,0.092,0.766,Likely to stay,Critical,27.91
E_00013,Tripti Yadav,Finance Analyst,Finance,Bangalore,12.9716,77.5946,43,2,1.2,1.2,12,1,4.1,4.2,3.1,4,22,2,3,3,0,0,2,0,1,0,0,0.442,0.111,Likely to stay,Non-critical,6.76
E_00014,Kritika Brar,L2 Support Engineer,Support,Noida,28.5355,77.391,55,3,5.5,1.1,15,3,4.2,3.1,2.3,5,31,4,5,5,1,0,2,0,2,1,1,0.693,0.391,Likely to leave,Non-critical,30.7
E_00015,Janaki Handa,HR Business Partner,HR,Pune,18.5204,73.8567,38,4,7.8,7.3,48,2,2.9,3.1,3.0,4,25,4,4,3,1,0,4,0,3,1,1,0.763,0.659,Likely to leave,Critical,54.97
